trail_name,destination_name
Bright Angel Trail,Grand Canyon
Hermit Trail,Grand Canyon
Bright Angel Point Trail,Grand Canyon
Transept Trail,Grand Canyon
Bridle Trail,Grand Canyon
Ken Patrick Trail,Grand Canyon
Uncle Jim Trail,Grand Canyon
Widforss Trail,Grand Canyon
Cape Royal Trail,Grand Canyon
Cliff Springs Trail,Grand Canyon
Cape Final Trail,Grand Canyon
Roosevelt Point Trail,Grand Canyon
Point Imperial Trail,Grand Canyon
Leonarad Monti Trail,A' Mountain at Hayden Butte
Echo Canyon Trail,Camelback Mountain
Cholla Trail,Camelback Mountain
Kiwanis Trail,South Mountain
Telegraph Pass Trail,South Mountain
Pyramid Trail,South Mountain
Midlife Crisis Trail and National Trail Loop,South Mountain
Marcos de Niza & Pima,South Mountain
Trail of Ten Falls,Silver Falls State Park
Angels Landing Trail,Zion National Park
The Zion Narrows Riverside Walk,Zion National Park
The Watchman Trail,Zion National Park
The Lighthouse Trail,Palo Duro Canyon
Rock Garden Trail,Palo Duro Canyon
Enchanted Rock Summit Trail,Enchanted Rock
Ryan Mountain Trail,Joshua Tree National Park
Upper Yosemite Falls Trail,Yosemite National Park
