location_coordinate,location_state,location_city,location_zipcode,location_address
"36.0544° N, 112.1401° W",AZ,Grand Canyon,86023,"Grand Canyon National Park, Grand Canyon, AZ 86023"
"33.5151° N, 111.9619° W",AZ,Phoneix,85018,"4925 E McDonald Dr, Phoenix, AZ 85018"
"33.4283° N, 111.9359° W",AZ,Tempe,85291,"E Rio Salado Pkwy & S Mill Ave, Tempe, AZ 85281"
"33.3335° N, 112.0622° W",AZ,Phoneix,85042,"10919 S Central Ave, Phoenix, AZ 85042"
"37.2982° N, 113.0263° W",UT,Springdale,84767,"1 Zion Park Blvd, Springdale, UT 84767"
"34.9373° N, 101.6589° W",TX,Canyon,79015,"11450 State Hwy Park Rd 5, Canyon, TX 79015"
"30.5066° N, 98.8189° W",TX,Fredericksburg,78624,"16710 Ranch Rd 965, Fredericksburg TX, 78624"
"33.8734° N, 115.9010° W",CA,Twentynine Palms,92277,"74485 National Park Drive, Twentynine Palms, CA 92277"
"37.8651° N, 119.5383° W",CA,Yosemite National Park,95389,"Tioga Rd Hwy 120 & Hwy 140 Yosemite National Park, CA 95389 "
"44.8652° N, 122.6262° W",OR,Sublimity,97385,"20024 Silver Falls Hwy SE, Sublimity, OR 97385"
